H5N1	O
in	O
Poultry	O
in	O
Pakistan	O
H5	O
avian	O
influenza	O
has	O
been	O
detected	O
in	O
a	O
farm	O
25	O
km	O
from	O
the	O
Federal	O
Capital	O
according	O
to	O
the	O
Poultry	O
Research	O
Institute	O
's	O
Masoud	O
Zubasr	O
.	O
A	O
team	O
dispatched	O
to	O
the	O
farm	O
has	O
culled	O
more	O
than	O
10,000	O
chickens	O
.	O

USA	O
-LRB-	O
H3N8	O
-RRB-	O
H3N8	O
canine	O
influenza	O
has	O
been	O
confirmed	O
in	O
12	O
cases	O
within	O
Florida	O
.	O
Officials	O
believe	O
the	O
disease	O
spread	O
through	O
dog	O
shows	O
and	O
competitions	O
.	O
Georgia	O
has	O
five	O
confirmed	O
cases	O
of	O
the	O
influenza	O
and	O
is	O
asking	O
show	O
attendees	O
to	O
keep	O
dog	O
cages	O
and	O
equipment	O
at	O
least	O
20	O
feet	O
from	O
one	O
another	O
.	O
Additionally	O
,	O
hand	O
sanitizer	O
and	O
gloves	O
will	O
be	O
provided	O
at	O
shows	O
in	O
an	O
attempt	O
to	O
avoid	O
spreading	O
the	O
disease	O
further	O
.	O
Dogs	O
from	O
eight	O
states	O
-LRB-	O
Florida	O
,	O
Georgia	O
,	O
Illinois	O
,	O
Kentucky	O
,	O
North	O
and	O
South	O
Carolina	O
,	O
Tennessee	O
and	O
Texas	O
-RRB-	O
have	O
tested	O
positive	O
.	O
The	O
best	O
way	O
to	O
prevent	O
the	O
disease	O
is	O
to	O
obtain	O
a	O
canine	O
flu	O
vaccination	O
which	O
does	O
n't	O
provide	O
full	O
protection	O
,	O
but	O
will	O
reduce	O
the	O
severity	O
of	O
symptoms	O
.	O
The	O
disease	O
can	O
not	O
affect	O
humans	O
and	O
is	O
treatable	O
akin	O
to	O
human	O
influenza	O
.	O

H5N1	O
in	O
Poultry	O
in	O
India	O
Bird	O
flu	O
-LRB-	O
H5N1	O
-RRB-	O
has	O
resurfaced	O
in	O
Orissa	O
province	O
.	O
On	O
February	O
3	O
,	O
the	O
Bhopal-based	O
High	O
Security	O
Animal	O
Diseases	O
Laboratory	O
-LRB-	O
HSADL	O
-RRB-	O
confirmed	O
bird	O
flu	O
among	O
the	O
poultry	O
population	O
-LRB-	O
28,851	O
birds	O
-RRB-	O
of	O
Central	O
Poultry	O
Development	O
Organisation	O
-LRB-	O
CPDO	O
-RRB-	O
.	O
The	O
state	O
government	O
has	O
restricted	O
the	O
movement	O
of	O
poultry	O
within	O
a	O
3-km	O
radius	O
of	O
the	O
CDPO	O
.	O
After	O
the	O
test	O
results	O
were	O
announced	O
,	O
the	O
Bhubaneswar	O
Municipal	O
Corporation	O
-LRB-	O
BMC	O
-RRB-	O
called	O
an	O
emergency	O
meeting	O
and	O
ordered	O
the	O
closing	O
of	O
poultry	O
and	O
poultry	O
product	O
shops	O
in	O
21	O
wards	O
within	O
the	O
alert	O
zone	O
.	O
The	O
BMC	O
has	O
sent	O
around	O
10	O
rapid	O
response	O
teams	O
for	O
surveillance	O
.	O
These	O
teams	O
will	O
work	O
to	O
sanitize	O
any	O
infected	O
areas	O
in	O
the	O
wards	O
.	O

H5N1	O
in	O
Poultry	O
in	O
Czech	O
Republic	O
H5N1	O
has	O
been	O
detected	O
on	O
farms	O
in	O
two	O
villages	O
,	O
Netrebice	O
and	O
Kosorin	O
in	O
East	O
Bohemia	O
,	O
where	O
17,000	O
and	O
54,000	O
birds	O
are	O
contained	O
,	O
respectively	O
.	O
Both	O
are	O
within	O
the	O
3	O
km	O
exclusion	O
zone	O
around	O
Norin	O
,	O
where	O
H5N1	O
was	O
detected	O
in	O
late	O
June	O
.	O
Poultry	O
on	O
three	O
other	O
farms	O
will	O
be	O
culled	O
even	O
though	O
the	O
birds	O
did	O
not	O
exhibit	O
clinical	O
symptoms	O
and	O
no	O
virus	O
has	O
been	O
detected	O
.	O
Josef	O
Duben	O
,	O
a	O
spokesman	O
for	O
the	O
State	O
Veterinary	O
Administration	O
,	O
said	O
that	O
the	O
authorities	O
suspect	O
the	O
virus	O
has	O
spread	O
from	O
farm	O
to	O
farm	O
in	O
the	O
local	O
area	O
because	O
of	O
the	O
movement	O
of	O
people	O
and	O
equipment	O
.	O

H5N1	O
in	O
Poultry	O
in	O
Nigeria	O
Chickens	O
and	O
a	O
duck	O
from	O
live-bird	O
markets	O
have	O
tested	O
positive	O
for	O
avian	O
influenza	O
.	O
The	O
chickens	O
were	O
found	O
in	O
the	O
western	O
state	O
of	O
Kebbi	O
in	O
June	O
,	O
and	O
the	O
duck	O
was	O
found	O
in	O
the	O
eastern	O
state	O
of	O
Gombe	O
in	O
July	O
.	O
The	O
birds	O
were	O
tested	O
as	O
part	O
of	O
a	O
routine	O
surveillance	O
procedure	O
to	O
find	O
and	O
eliminate	O
H5N1	O
and	O
officials	O
have	O
stated	O
that	O
the	O
``	O
available	O
evidence	O
so	O
far	O
suggests	O
contact	O
with	O
wild	O
birds	O
may	O
have	O
led	O
to	O
the	O
infection	O
.	O
''	O

H5N1	O
in	O
Poultry	O
in	O
Nepal	O
Beginning	O
on	O
December	O
13	O
,	O
about	O
3,000	O
chickens	O
have	O
died	O
over	O
the	O
course	O
of	O
a	O
week	O
at	O
a	O
poultry	O
farm	O
in	O
Dharke	O
of	O
Dhading	O
district	O
,	O
Bagmati	O
Zone	O
in	O
Nepal	O
.	O
The	O
Central	O
Animal	O
Disease	O
Investigation	O
Laboratory	O
confirmed	O
the	O
deaths	O
were	O
due	O
to	O
avian	O
influenza	O
.	O
On	O
December	O
20	O
,	O
a	O
Rapid	O
Response	O
Team	O
reached	O
the	O
infected	O
poultry	O
farm	O
to	O
conduct	O
cleaning	O
,	O
disinfection	O
,	O
and	O
the	O
disposal	O
of	O
affected	O
poultry	O
products	O
,	O
such	O
as	O
manure	O
,	O
eggs	O
and	O
feed	O
,	O
to	O
stop	O
the	O
disease	O
from	O
spreading	O
.	O
Another	O
team	O
is	O
in	O
charge	O
of	O
surveillance	O
of	O
nearby	O
farms	O
,	O
watching	O
for	O
bird	O
flu	O
symptoms	O
.	O
Earlier	O
in	O
the	O
week	O
,	O
farmers	O
in	O
the	O
same	O
town	O
of	O
Dharke	O
had	O
seized	O
two	O
trucks	O
carrying	O
frozen	O
chicken	O
destined	O
for	O
Kentucky	O
Fried	O
Chicken	O
restaurants	O
in	O
Nepal	O
over	O
concerns	O
of	O
illegal	O
importation	O
of	O
chicken	O
from	O
India	O
.	O

China	O
-LRB-	O
HPAI	O
H5N8	O
-RRB-	O
The	O
Chinese	O
Animal	O
Disease	O
Control	O
Centre	O
reported	O
on	O
October	O
24	O
that	O
on	O
September	O
12	O
,	O
highly	O
pathogenic	O
avian	O
influenza	O
H5N8	O
virus	O
was	O
identified	O
in	O
one	O
environment	O
sample	O
from	O
a	O
wetland	O
of	O
Liao	O
River	O
,	O
Xinglong	O
County	O
,	O
Liaoning	O
province	O
.	O

Japan	O
-LRB-	O
HPAI	O
H5N8	O
-RRB-	O
The	O
Ministry	O
of	O
Agriculture	O
,	O
Forestry	O
and	O
Fisheries	O
announced	O
the	O
first	O
outbreak	O
of	O
avian	O
influenza	O
in	O
the	O
country	O
since	O
April	O
.	O
The	O
H5N8	O
virus	O
caused	O
the	O
death	O
of	O
more	O
than	O
20	O
chickens	O
on	O
a	O
farm	O
in	O
Kitagawa	O
,	O
Miyazaki	O
prefecture	O
,	O
and	O
authorities	O
have	O
culled	O
about	O
4,000	O
birds	O
and	O
disinfected	O
the	O
farm	O
.	O
Shipments	O
of	O
poultry	O
and	O
eggs	O
have	O
been	O
restricted	O
within	O
a	O
6-mile	O
radius	O
of	O
the	O
farm	O
,	O
and	O
authorities	O
are	O
investigating	O
the	O
route	O
of	O
infection	O
.	O
The	O
outbreak	O
in	O
April	O
occurred	O
in	O
Kumamoto	O
prefecture	O
,	O
and	O
112,000	O
chickens	O
on	O
two	O
farms	O
were	O
destroyed	O
.	O

China	O
-LRB-	O
LPAI	O
H7N9	O
-RRB-	O
in	O
4	O
new	O
cases	O
from	O
Anhui	O
Province	O
-LRB-	O
no	O
more	O
details	O
were	O
provided	O
-RRB-	O
Several	O
new	O
cases	O
of	O
low-pathogenic	O
H7N9	O
avian	O
influenza	O
have	O
occurred	O
in	O
China	O
-LRB-	O
including	O
Hong	O
Kong	O
-RRB-	O
,	O
although	O
official	O
reports	O
from	O
that	O
country	O
make	O
it	O
difficult	O
to	O
track	O
the	O
exact	O
number	O
.	O
At	O
least	O
8	O
new	O
cases	O
have	O
been	O
reported	O
in	O
the	O
week	O
before	O
January	O
16	O
:	O
36-year-old	O
female	O
from	O
Hengyang	O
,	O
who	O
had	O
poultry	O
exposure	O
;	O
hospitalized	O
in	O
critical	O
condition	O
