

H5N1	Influenza
in	O
Wild	O
birds	Host_organism
in	O
India	Location
At	O
least	O
a	O
dozen	O
migratory	O
bar-headed	Host_organism
geese	Host_organism
were	O
found	O
dead	O
on	O
January	Date
7	Date
and	Date
8	Date
at	O
Kaziranga	O
National	O
Park	O
in	O
Assam	Location
.	O
The	O
geese	Host_organism
had	O
recently	O
arrived	O
at	O
the	O
sanctuary	O
from	O
Siberia	Location
and	O
officials	O
are	O
concerned	O
that	O
they	O
may	O
have	O
died	O
from	O
bird	Influenza
flu	Influenza
.	O
``	O
A	O
team	O
of	O
experts	O
","	O
including	O
veterinarians	O
","	O
are	O
carrying	O
out	O
post-mortems	O
of	O
the	O
birds	Host_organism
and	O
samples	O
will	O
be	O
sent	O
to	O
Bhopal	Location
to	O
find	O
out	O
if	O
the	O
deaths	O
were	O
due	O
to	O
avian	Influenza
influenza	Influenza
or	O
some	O
other	O
disease	O
","	O
''	O
a	O
park	O
ranger	O
told	O
the	O
Indo-Asian	O
News	O
Service	O
.	O
Forest	O
guards	O
have	O
been	O
alerted	O
to	O
watch	O
for	O
other	O
dead	O
birds	Host_organism
in	O
the	O
park	O
","	O
which	O
contains	O
300	O
species	O
of	O
birds	Host_organism
","	O
100	O
of	O
which	O
are	O
migratory	O
.	O
